meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts
(R) ESTAR GSHP (Other Fossil Furnace)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_25	res_heating_ts_2	res_heating_ts_7
(R) ESTAR HP FS (NG Furnace)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_11	res_cooling_ts_1	res_cooling_ts_2
(R) ESTAR HP FS (NG Furnace)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_11	res_heating_ts_2	res_heating_ts_3
"(R) ESTAR HP FS (NG Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_62	res_hvac_ann_66	res_cooling_ts_4	res_cooling_ts_4
"(R) ESTAR HP FS (NG Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_62	res_hvac_ann_66	res_heating_ts_6	res_heating_ts_6
(R) ESTAR HP FS (Other Fossil Furnace)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_22	res_cooling_ts_1	res_cooling_ts_2
(R) ESTAR HP FS (Other Fossil Furnace)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_22	res_heating_ts_2	res_heating_ts_3
"(R) ESTAR HP FS (Other Fossil Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_73	res_hvac_ann_74	res_cooling_ts_2	res_cooling_ts_2
"(R) ESTAR HP FS (Other Fossil Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_73	res_hvac_ann_74	res_heating_ts_3	res_heating_ts_3
(R) ESTAR HP Pt. FS (NG Boiler)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_25	res_cooling_ts_1	res_cooling_ts_2
(R) ESTAR HP Pt. FS (NG Boiler)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_25	res_heating_ts_2	res_heating_ts_6
(R) ESTAR HP Pt. FS (NG Furnace)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_14	res_cooling_ts_1	res_cooling_ts_2
(R) ESTAR HP Pt. FS (NG Furnace)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_14	res_heating_ts_2	res_heating_ts_6
(R) ESTAR HP Pt. FS (Other Fossil Boiler)	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_14	res_cooling_ts_1	res_cooling_ts_2
(R) ESTAR HP Pt. FS (Other Fossil Boiler)	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_14	res_heating_ts_2	res_heating_ts_6
(R) ESTAR HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_25	res_cooling_ts_1	res_cooling_ts_2
(R) ESTAR HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_25	res_heating_ts_2	res_heating_ts_6
"(R) ESTAR HP TS (Resist. Heat, No Cool)"	Cooling (Equip.)	res_hvac_ann_53	res_hvac_ann_54	res_cooling_ts_2	res_cooling_ts_2
"(R) ESTAR HP TS (Resist. Heat, No Cool)"	Heating (Equip.)	res_hvac_ann_53	res_hvac_ann_54	res_heating_ts_3	res_heating_ts_3
(R) ESTAR HP TS (Resist.)	Cooling (Equip.)	res_hvac_ann_1	res_hvac_ann_2	res_cooling_ts_1	res_cooling_ts_2
(R) ESTAR HP TS (Resist.)	Heating (Equip.)	res_hvac_ann_1	res_hvac_ann_2	res_heating_ts_1	res_heating_ts_3
(R) Ref. Case ASHP	Cooling (Equip.)	res_hvac_ann_32	res_hvac_ann_32	res_cooling_ts_2	res_cooling_ts_2
(R) Ref. Case ASHP	Heating (Equip.)	res_hvac_ann_32	res_hvac_ann_32	res_heating_ts_3	res_heating_ts_3
(R) Ref. Case Bio or No Heat & AC	Cooling (Equip.)	res_hvac_ann_85	res_hvac_ann_85	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case Bio or No Heat & AC	Heating (Equip.)	res_hvac_ann_85	res_hvac_ann_85	res_heating_ts_2	res_heating_ts_2
(R) Ref. Case GSHP	Cooling (Equip.)	res_hvac_ann_32	res_hvac_ann_32	res_cooling_ts_5	res_cooling_ts_5
(R) Ref. Case GSHP	Heating (Equip.)	res_hvac_ann_32	res_hvac_ann_32	res_heating_ts_7	res_heating_ts_7
"(R) Ref. Case Heating, No Cooling"	Heating (Equip.)	res_hvac_ann_43	res_hvac_ann_43	res_heating_ts_1	res_heating_ts_1
"(R) Ref. Case Heating, No Cooling"	Cooling (Equip.)	res_hvac_ann_43	res_hvac_ann_43	res_cooling_ts_0	res_cooling_ts_0
(R) Ref. Case NG Boiler & AC	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_10	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case NG Boiler & AC	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_10	res_heating_ts_2	res_heating_ts_2
(R) Ref. Case NG Furnace & AC	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_10	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case NG Furnace & AC	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_10	res_heating_ts_2	res_heating_ts_2
"(R) Ref. Case NG Heat, No Cooling"	Cooling (Equip.)	res_hvac_ann_62	res_hvac_ann_62	res_cooling_ts_1	res_cooling_ts_1
"(R) Ref. Case NG Heat, No Cooling"	Heating (Equip.)	res_hvac_ann_62	res_hvac_ann_62	res_heating_ts_2	res_heating_ts_2
(R) Ref. Case NGHP	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_10	res_heating_ts_2	res_heating_ts_2
(R) Ref. Case NGHP	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_10	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case Other Fossil Boiler & AC	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_21	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case Other Fossil Boiler & AC	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_21	res_heating_ts_2	res_heating_ts_2
(R) Ref. Case Other Fossil Furnace & AC	Cooling (Equip.)	res_hvac_ann_21	res_hvac_ann_21	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case Other Fossil Furnace & AC	Heating (Equip.)	res_hvac_ann_21	res_hvac_ann_21	res_heating_ts_2	res_heating_ts_2
"(R) Ref. Case Other Fossil Heat, No Cooling"	Cooling (Equip.)	res_hvac_ann_73	res_hvac_ann_73	res_cooling_ts_1	res_cooling_ts_1
"(R) Ref. Case Other Fossil Heat, No Cooling"	Heating (Equip.)	res_hvac_ann_73	res_hvac_ann_73	res_heating_ts_2	res_heating_ts_2
(R) Ref. Case Resist. Heat & AC	Cooling (Equip.)	res_hvac_ann_1	res_hvac_ann_1	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case Resist. Heat & AC	Heating (Equip.)	res_hvac_ann_1	res_hvac_ann_1	res_heating_ts_1	res_heating_ts_1
"(R) Ref. Case Resist. Heat, No Cooling"	Cooling (Equip.)	res_hvac_ann_53	res_hvac_ann_53	res_cooling_ts_1	res_cooling_ts_1
"(R) Ref. Case Resist. Heat, No Cooling"	Heating (Equip.)	res_hvac_ann_53	res_hvac_ann_53	res_heating_ts_1	res_heating_ts_1
(R) Ref. Case Secondary Electric Heating	Cooling (Equip.)	res_hvac_ann_52	res_hvac_ann_52	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case Secondary Electric Heating	Heating (Equip.)	res_hvac_ann_52	res_hvac_ann_52	res_heating_ts_1	res_heating_ts_1
(R) Ref. Case Secondary Fossil Heating	Cooling (Equip.)	res_hvac_ann_10	res_hvac_ann_10	res_cooling_ts_1	res_cooling_ts_1
(R) Ref. Case Secondary Fossil Heating	Heating (Equip.)	res_hvac_ann_10	res_hvac_ann_10	res_heating_ts_2	res_heating_ts_2
(R) Ref. Case Gas WH	Water Heating	res_wh_ann_1	res_wh_ann_1	res_wh_ts_1	res_wh_ts_1
(R) Ref. Case Resist. WH	Water Heating	res_wh_ann_3	res_wh_ann_3	res_wh_ts_2	res_wh_ts_2
(R) ESTAR 120V HPWH FS	Water Heating	res_wh_ann_1	res_wh_ann_2	res_wh_ts_1	res_wh_ts_3
(R) ESTAR 240V HPWH FS	Water Heating	res_wh_ann_1	res_wh_ann_2	res_wh_ts_1	res_wh_ts_3
(R) ESTAR HPWH TS	Water Heating	res_wh_ann_3	res_wh_ann_4	res_wh_ts_2	res_wh_ts_3
(R) Best HPWH FS	Water Heating	res_wh_ann_1	res_wh_ann_2	res_wh_ts_1	res_wh_ts_3
(R) Best HPWH TS	Water Heating	res_wh_ann_3	res_wh_ann_4	res_wh_ts_2	res_wh_ts_3
(R) Ref. Case Gas Range	Cooking	res_cook_ann_1	res_cook_ann_1	res_cook_ts_1	res_cook_ts_1
(R) Ref. Case Electric Range	Cooking	res_cook_ann_3	res_cook_ann_3	res_cook_ts_2	res_cook_ts_2
(R) Induction Range FS	Cooking	res_cook_ann_1	res_cook_ann_3	res_cook_ts_1	res_cook_ts_2
(R) Ref. Case Gas Dryer	Other	res_dry_ann_1	res_dry_ann_1	res_dry_ts_1	res_dry_ts_1
(R) Ref. Case Electric Dryer	Other	res_dry_ann_3	res_dry_ann_3	res_dry_ts_2	res_dry_ts_2
(R) ENERGY STAR Dryer	Other	res_dry_ann_3	res_dry_ann_3	res_dry_ts_2	res_dry_ts_2
(R) Best HP Dryer FS	Other	res_dry_ann_1	res_dry_ann_2	res_dry_ts_1	res_dry_ts_3
(R) Best HP Dryer TS	Other	res_dry_ann_3	res_dry_ann_4	res_dry_ts_2	res_dry_ts_3
(R) Ref. Case Clothes Washer	Other	res_cw_ann_1	res_cw_ann_1	res_cw_ts_1	res_cw_ts_1
(R) ENERGY STAR Clothes Washer	Other	res_cw_ann_1	res_cw_ann_1	res_cw_ts_1	res_cw_ts_1
(R) Best Clothes Washer	Other	res_cw_ann_1	res_cw_ann_1	res_cw_ts_1	res_cw_ts_1
(R) Ref. Case Dishwasher	Other	res_dw_ann_1	res_dw_ann_1	res_dw_ts_1	res_dw_ts_1
(R) ENERGY STAR Dishwasher	Other	res_dw_ann_1	res_dw_ann_1	res_dw_ts_1	res_dw_ts_1
(R) Best Dishwasher	Other	res_dw_ann_1	res_dw_ann_1	res_dw_ts_1	res_dw_ts_1
(R) Ref. Case Refrigerator	Refrigeration	res_refrig_ann_1	res_refrig_ann_1	res_refrig_ts_1	res_refrig_ts_1
(R) ENERGY STAR Refrigerator	Refrigeration	res_refrig_ann_1	res_refrig_ann_1	res_refrig_ts_1	res_refrig_ts_1
(R) Best Refrigerator	Refrigeration	res_refrig_ann_1	res_refrig_ann_1	res_refrig_ts_1	res_refrig_ts_1
(R) Ref. Case Electronics	Computers and Electronics	res_misc_ann_1	res_misc_ann_1	res_misc_ts_1	res_misc_ts_1
(R) ENERGY STAR Electronics	Computers and Electronics	res_misc_ann_1	res_misc_ann_1	res_misc_ts_1	res_misc_ts_1
(R) Best Electronics	Computers and Electronics	res_misc_ann_1	res_misc_ann_1	res_misc_ts_1	res_misc_ts_1
(R) Ref. Case Fans and Pumps	Other	res_fanspump_ann_1	res_fanspump_ann_1	res_fanspump_ts_1	res_fanspump_ts_1
(R) Ref. Case Pool Pumps	Other	res_pp_ann_1	res_pp_ann_1	res_pp_ts_1	res_pp_ts_1
(R) ENERGY STAR Pool Pumps	Other	res_pp_ann_1	res_pp_ann_1	res_pp_ts_1	res_pp_ts_1
(R) Ref. Case Misc. Electric Appliances	Other	res_misc_ann_1	res_misc_ann_1	res_misc_ts_1	res_misc_ts_1
(R) Ref. Case Misc. Electric Appliances	Refrigeration	res_refrig_ann_1	res_refrig_ann_1	res_refrig_ts_1	res_refrig_ts_1
(R) Ref. Case Electric Other	Other	res_misc_ann_1	res_misc_ann_1	res_misc_ts_1	res_misc_ts_1
(R) Ref. Case Fossil Other	Other				
(R) Ref. Case Lighting	Lighting	res_light_ann_1	res_light_ann_1	res_light_ts_1	res_light_ts_1
(R) Best Residential LED Lighting	Lighting	res_light_ann_1	res_light_ann_1	res_light_ts_1	res_light_ts_1
